
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-1461 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.4.1.129-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14120 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-821 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID INOPHOSPHOR-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11349 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11348 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID LEUCINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DADPKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11343 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID NUCLEOSIDE-DIP-KIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-7001 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11344 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14074 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11345 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14029 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DALADALALIG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID THIOSULFATE-SULFURTRANSFERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID CHORISMATE-SYNTHASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-6483 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-10015 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DEOXYRIBOSE-P-ALD-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-6484 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3-DEHYDROQUINATE-SYNTHASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-10017 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-4222 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ADENOSINE-NUCLEOSIDASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.5.1.19-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PYRIMIDINE-NUCLEOSIDE-PHOSPHORYLASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLUTATHIONE-REDUCT-NADPH-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID D-ALANINE-AMINOTRANSFERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID THYM-PHOSPH-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID UDP-NACMUR-ALA-LIG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11339 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID DAHPSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID URA-PHOSPH-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ASPARAGINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 4.2.99.18-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID URPHOS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-2601 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PPENTOMUT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID D-RIBULOKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-5405 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLYRIBONUCSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID D-PPENTOMUT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID UDP-NACMURALGLDAPLIG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PGLYCDEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID TRNA-S-TRANSFERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID IMPCYCLOHYDROLASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RIBOSYLHOMOCYSTEINASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID AICARTRANSFORM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ACETATEKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PANTOTHENATE-KIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GART-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11291 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ALANINE-DEHYDROGENASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID AIRS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ADENODEAMIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ALLOPHANATE-HYDROLASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PRPPAMIDOTRANS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID UDP-NACMURALGLDAPAALIG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID FGAMSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ADDALT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 6.3.2.10-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3-DEHYDROQUINATE-DEHYDRATASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID SAICARSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID AIRCARBOXY-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLUTAMINESYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID CDPDIGLYSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ALARACECAT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-5515 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-6274 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8999 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GLYCEROL-KIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3-ISOPROPYLMALISOM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PHOSPHAGLYPSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8991 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.1.1.74-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.7.7.8-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 5.99.1.2-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PEPDEPHOS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PHOSPHOKETOLASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11746 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID SUCCCOASYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID FADSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2.5.1.63-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3.1.26.4-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID GAPOXNPHOSPHN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11745 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RIBOFLAVINKIN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID F16BDEPHOS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN0-5293 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11744 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-7800 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID HOMOCYSTEINE-DESULFHYDRASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 3-ISOPROPYLMALDEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID SUCCSEMIALDDEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-11747 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID HOMOSERDEAM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID PROLINE--TRNA-LIGASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID R11-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID VINYLACETYL-COA-DELTA-ISOMERASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID CYSTHIOCYS-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID FUMHYDR-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8890 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID XMPXAN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 2-ISOPROPYLMALATESYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID LCYSDESULF-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-8889 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 1.2.1.65-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-9929 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14049 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ACETOLACTREDUCTOISOM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14033 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID METBALT-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID RXN-14048 to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID CYSTAGLY-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ACETOOHBUTREDUCTOISOM-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID O-SUCCHOMOSERLYASE-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID IMP-DEHYDROG-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID ACETOLACTSYN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID XANPRIBOSYLTRAN-RXN to buffer.
FileParser Thread (22/03/16 10:56)---- wrote UNIQUE-ID MMUM-RXN to buffer.
